Service,Category,Cost (RM),Selfpay (RM),Panel1 (RM),Panel2 (RM),Panel3 (RM),Panel4 (RM),Panel5 (RM)
** 1. PLATINUM BHS1 + ECG (PANTAI LAB -  BHS1),investigation,0.00,80.00,85.00,40.00,0.00,120.00,
2. GOLD PACKAGE (PKP1+ ECG) (PANTAI LAB - PKP1),investigation,0.00,140.00,145.00,50.00,0.00,,
3. DIAMOND PKPP + ECG (PANTAI LAB - PKPP),investigation,0.00,170.00,175.00,85.00,0.00,,
4 POINT BSP+ DR CONSULTATION,investigation,0.00,65.00,70.00,15.00,0.00,9999.00,
ABO Blood Group & Rh Rhesus Factor IN-CLINIC,investigation,0.00,35.00,40.00,10.00,0.00,9999.00,
ABO Blood Group & Rh Rhesus Factor (PANTAI LAB - ABO),investigation,0.00,20.00,27.00,10.00,0.00,9999.00,
AIR GLUKOSA 75G (MOGTT)- AIR SAHAJA,procedure,0.00,22.00,29.00,15.00,12.00,9999.00,
ALLERGY ANTIBODY TEST (107 ALLERGENS) CODE PANTAI - PT107,investigation,0.00,500.00,505.00,,500.00,,
ALLERGY ANTIBODY TEST (36 ALLERGENS) CODE PANTAI - AL36,investigation,0.00,400.00,450.00,,400.00,,
ALLERGY ANTIBODY TEST (54 ALLERGENS) CODE PANTAI - BIOIC52,investigation,0.00,450.00,480.00,,450.00,,
ALLERGY ANTIBODY TEST (PANTAI LAB - AL36),investigation,0.00,400.00,450.00,250.00,0.00,9999.00,
ALPHA FETOPROTEIN - AFP (WITHOUT PACKAGE),investigation,0.00,60.00,65.00,30.00,0.00,9999.00,
Amenorrhea Profile A,investigation,0.00,185.00,190.00,125.00,125.00,9999.00,9999.00
AMENORRHEA PROFILE B (PANTAI LAB - AM02),investigation,0.00,250.00,300.00,190.00,0.00,9999.00,
** ANEMIA/IRON STUDIES - PANTAI (IS),investigation,0.00,115.00,120.00,60.00,,115.00,
ANEMIA PROFILE C (ETIOLOGY+THALASSEMIA) (PANTAI LAB - AE03),investigation,0.00,335.00,340.00,200.00,0.00,9999.00,
ANTENATAL (ANC) CHECKUP (FBC/UFEME/SCAN 2D),investigation,0.00,150.00,150.00,25.00,0.00,9999.00,
** ANTENATAL SCREENING - PANTAI (AN4A),investigation,0.00,70.00,75.00,50.00,,60.00,
ANTI DOUBLE STRANDED DNA (PANTAI LAB - DSDNA),investigation,0.00,130.00,135.00,68.00,0.00,9999.00,
ANTI MULLERIAN HORMONE (PANTAI LAB - AMH),investigation,0.00,300.00,305.00,150.00,0.00,9999.00,
ANTI NUCLEAR ANTIBODY (PANTAI LAB - ANA),investigation,0.00,104.00,111.00,55.00,0.00,9999.00,
ANTI STEPTOLYSIN O TITRE (PANTAI LAB - ASOT),investigation,0.00,40.00,45.00,18.00,0.00,9999.00,
APPOINTMENT DOCTOR CONSULTATION,service,0.00,0.00,0.00,0.00,0.00,,
** AQUACEL Ag FOAM 10X10 CM,procedure,0.00,40.00,40.00,20.00,0.00,30.00,
** AQUACEL HYDROFIBER DRESSING 10X10CM,procedure,0.00,24.00,24.00,24.00,0.00,25.00,
ARTHRITIS PROFILE B (PANTAI LAB - AR02),investigation,0.00,125.00,130.00,65.00,63.25,,
** BED SORE DRESSING,procedure,0.00,200.00,205.00,100.00,0.00,150.00,
** BETA HCG (PANTAI LAB - ZBHCG),investigation,0.00,20.00,25.00,10.00,0.00,65.00,
BETA THALESEMIA DNA ANALYSIS (PANTAI LAB - HBB),investigation,0.00,600.00,605.00,550.00,0.00,,
BILIRUBIN (IN-CLINIC),investigation,0.00,40.00,45.00,40.00,0.00,9999.00,
** BLOOD DRAWING (TO SEND TO PANTAI LAB),procedure,0.00,0.00,0.00,0.00,0.00,15.00,
BLOOD PRESSURE (WALK IN WITHOUT CONSULT),procedure,0.00,5.00,5.00,3.00,0.00,0.00,
BOOKING BUKA BUKU PINK (+DR CONSULT),service,0.00,200.00,200.00,48.00,0.00,9999.00,
CAMERA OTOSCOPE (1 SIDE),procedure,0.00,15.00,15.00,5.00,0.00,9999.00,
CAMERA OTOSCOPE (BILATERAL EAR),investigation,0.00,30.00,30.00,10.00,0.00,9999.00,
CARDIAC TROPONIN QUALITATIVE (IN-CLINIC),investigation,0.00,55.00,62.00,20.00,0.00,9999.00,
CARPAL TUNNEL SYNDROME -CTS INJECTION (SHINCORT),procedure,0.00,150.00,155.00,75.00,0.00,9999.00,
** CBD INSERTION,procedure,0.00,80.00,85.00,40.00,0.00,50.00,
** CBD REMOVAL,procedure,0.00,10.00,15.00,5.00,0.00,50.00,
** CHALAZION REMOVAL PER EYE,procedure,0.00,280.00,280.00,150.00,0.00,210.00,
CHEST PHYSIO,procedure,0.00,15.00,20.00,8.00,0.00,9999.00,
CIRCUMSICION (EXCEPT ZSR),procedure,0.00,250.00,255.00,125.00,0.00,9999.00,
CIRCUMSICION (ZSR),procedure,0.00,1000.00,1000.00,600.00,0.00,9999.00,
CLOSED MANUAL REDUCTION- CMR ELBOW,procedure,0.00,90.00,95.00,0.00,0.00,9999.00,
CLOSED MANUAL REDUCTION- CMR PHALANX,procedure,0.00,50.00,55.00,0.00,0.00,9999.00,
"COAG - PT/INR,APTT,PLATELET (GRIBBLES)",investigation,0.00,85.00,90.00,70.00,0.00,9999.00,
COAGULATION PROFILE,investigation,0.00,58.00,58.00,0.00,0.00,9999.00,
COMPLEMENT C3 (PANTAI LAB - C3),investigation,0.00,60.00,65.00,28.00,0.00,9999.00,
COMPLEMENT C4 (PANTAI LAB - C4),investigation,0.00,60.00,65.00,28.00,0.00,9999.00,
** CONSULTATION,consultation,0.00,35.00,35.00,0.00,0.00,20.00,40.00
** CONSULTATION (10PM-7AM),consultation,0.00,50.00,,,,30.00,
CONSULTATION ELDERLY/OKU,consultation,0.00,10.00,35.00,0.00,0.00,,
** CORN EXCISION (>3CM/LARGE),procedure,0.00,60.00,65.00,30.00,0.00,180.00,
** CORN EXCISION (<3CM/SMALL),procedure,0.00,40.00,45.00,20.00,0.00,180.00,
** CREPE BANDAGE ALL SIZE,service,0.00,10.00,10.00,10.00,0.00,10.00,
CRP- pantai (ZHCRP),investigation,0.00,40.00,50.00,,,99999.00,50.00
CRYOTHERAPY (PER LESION),procedure,0.00,100.00,100.00,70.00,40.00,9999.00,
CYSTIC ACNE NODULE INJECTION (SHINCORT),procedure,0.00,100.00,105.00,50.00,0.00,9999.00,
** DEBRIDE/DESLOUGHING (>5cm/LARGE),procedure,0.00,150.00,155.00,100.00,,150.00,
**DEBRIDE/DESLOUGHING (<5CM/SMALL),procedure,0.00,100.00,100.00,100.00,0.00,150.00,
